Comentario,Nota,sentimento
"Ugetsu 1953
تجربة أخري مع السينما اليابانية والعظيم ""كينجي ميزوجوتشي""
إذا ما بدأت طواحين الدم بالدوران يصبح الإطمئنان والأمان أساطير تدفئ أحلام المساكين من رياح الخراب .. في لحظة تاريخية عصيبة تلتهم فيها نيران الحرب البشر والشجر وكل ما يندرج تحت طألة الحياة تدخل عائلة بسيطة أختبارها الإنساني الأصعب الذي يضرب أستقرارها في مقتل .. ما بين مطامع إنسانية وأخطار من عوالم مغايرة يصبح مصير هذا الجمع الصغير من البشر في مهب الريح حتي يكون للأقدار شأن أخر .. فماذا سيحدث؟
الفيلم ده بعيد عن كونه دليل أخر دامغ علي عبقرية ميزوجوتشي فهو درس لأي صانع سينما أو رجل مهتم بالمجال وفي ذهنه أنه يقدم شئ ذو قيمة .. أزاي؟
أولاً درس في عمل معالجة سينمائية لنص أدبي .. طبعاً المسألة دي سهل تعلمها من أي حد بس هنا الوضع مختلف شويتين لأن النص المقتبس هو نص تراثي خيالي بتغلب عليه روح الأساطير والخرافة .. كمان هو مش نص واحد بل أكثر من نص تم مجهم لخلق تجربة جديدة برؤية مختلفة .. وهنا تكمن النقطة .. ميزوجوتشي خد النص لما هو أبعد من الخرافة أو أي بعد روحاني أو تسلية خيالية ونزل بيه علي أرض الواقع .. أيه رأيك بدل ما نتكلم عن العفاريت والثواب والعقاب نتكلم عن بشاعة الحرب والنفس البشرية ومطامعها وتطلعاتها اللي ممكن تؤدي بيها بالجميع إلي الهلاك؟! .. بدل ما أركزعلي حدوتة الشبح أو دائرة الكارما اللي بيقع فيها رجل أختار أن يكون مقاتل أتكلم عن ظرف بشع بيخرج أسوأ ما في الإنسان وبيضعه في أختبار صعب علي حافة الموت .. هنا نقدر نشوف مدي الثقل الفني لميزوجوتشي .. رجل بدل ما يسرح في عالم الخيال زي كتير من أبناء جيله بياخد القصة لمستوي جديد وبيخرج منها أبعاد وجوانب يمكن ما خطرتش علي بال حد قبل كدة
ثانياً مدي الجمال والشاعرية اللي بيتمتع بيهم الفيلم فنياً خلوني شخصياً أتغاضي عن الطبيعة الكلاسيكية للقصة اللي مكتسباها من كونها تراث أقرب للسير والخيال الشعبي اللي الصدف والقدريات بتلعب فيها دور محوري .. الفيلم تحفة إخراجية أبرز مواطن الجمال فيها واقعيتها البارزة أوي في بناء وتصميم القري والأسواق وملابس الممثلين اللي بتخليك تعيش أجواء العصور القديمة وكأنك سافرت عبر الزمن .. إلي جانب التوظيف المظبوط للبطء والهدوء في المشاهد بشكل يخدم شاعريتها ويديها روح الشعر السينمائي .. يمكن مشهد المركب في البحرية ومشهد رقص الأميرة أهم مثالين علي هذا الكلام .. أنت بتشوف المشهد بتأني وده بيخليك تركز في تفاصيله وتندمج مع الحالة وتتفاعل معها وكأنك جزء من الأحداث
لو قعدنا نتكلم عن ميزوجوتشي الكلام مش ح يخلص .. لانه علامة من علامات السينما وملهم ومعلم لأجيال وأجيال",5.0,positivo
"Muy muy muy linda. Algo simple que a través de recursos fantasmales e históricos, representa valores que atraviesan sociedades primitivas y modernas. Digna de proyectar en colegios como en pantallas individuales",4.0,positivo
"Em Contos da Lua Vaga, a história mistura fantasia com realidade, porém essa fantasia apenas exalta o grande problema dos homens: a ambição e ganância.
Japão está em plena guerra civil, e as famílias precisam se proteger dos samurais que saqueam as casas, estupram as mulheres e tomam os homens como escravos por todo lugar que passam. Entretanto, o que destruirá as duas famílias presentes na trama não será a guerra, mas a enorme ambição dos maridos. Genjuro não quer deixar em sua pequena vila abandonada o sonho de enriquecer com suas cerâmicas e Tobei de tornar-se um samurai, mesmo que suas mulheres os implorem para esquecerem tudo isso.
Success always comes at a price, and we pay in suffering.
Essa extrema ambição acaba em ""sucesso"" dos homens e abandono das mulheres e da pequena criança de Genjuro à mercê da guerra, precisando se virar como podem sozinhas nesse país caótico. E, infelizmente, o ser humano aprende que errou às vezes do jeito mais difícil, e aqui não é diferente...
I told you so, but you were to stupid to learn except through misfortune.
Posso dizer que esse filme não me deixou perder a atenção um segundo, ainda mais que mistura fantasia com realidade, então chegou um momento em que fiquei ""o que será que realmente está acontecendo?""... A fotografia é linda e creio que pela primeira vez um filme em preto e branco me instigou sempre a imaginar as cores das cenas. Seria uma fotografia mais bonita ainda se pudéssemos ver o colorido dos kimonos, das cerâmicas, das cidades e da natureza.
The value of people and things truly depends on their setting.",5.0,positivo
"A tragédia e o estigma do feminino. O poder de sua narrativa está na maneira como constrói a ascensão e queda, principalmente moral, de seus personagens. A natureza febril de seus homens que procuram, talvez por instinto, caminhos sórdidos e suntuosos contrasta fortemente com as consequências de suas ações, principalmente aquelas que resvalam sobre as mulheres. Essa crítica ao processo de depreciação do feminino se transforma na força da sua obra, acentuando o sentido de flagelo iminente. A razoabilidade e resignação da figura da mulher, não como algo meramente inato, mas como único meio de sobrevivência.
A ausência sublinhada de Mizoguchi daquele universo, ele não julga aquilo que se desdobra em tela e o registra com certo distanciamento, aprofunda o sentimento de impotência perante as leis que regem aquele mundo. As desventuras que assombram seus personagens são fruto da própria sociedade.",5.0,positivo
Magical,5.0,positivo
"É insuficiente discutir a temática da ganância amplificada pelo estado de guerra, ou a maneira majestral que Mizoguchi encena o sobrenatural, ou até a trilha sonora incrivelmente à frente de seu tempo misturando elementos da música tradicional japonesa com música atmosférica, etc.
Ugetsu é cinema como a forma mais primordial de encantamento pela arte. Daqueles que sei que vão me impactar pra vida.",5.0,positivo
"Сказочная притча, в которой переплелись женское начало с фантастическим экспрессионизмом. Умело искажая реальность, Мидзогути погружает зрителя в пучину мистики и религии, базируясь на фундаменте японской культуры. В чёрно-белом кино японца нашлось место и крупным планам, и панораме природы. Ближе к финалу разобрать, где реальность, а где вымысел, всё труднее.",4.0,positivo
prende o respiro por alguns segundos (não prolonga) e mantém o ar gelado como se um fantasma atravessasse a sala,5.0,positivo
"""Ugetsu"" ist ein melancholisches Drama um Frauen, deren Männer im Krieg dienen und die ihr Leben alleine bewältigen müssen, sich jedoch stets nach Liebe sehnen. Der Film, dessen erste Hälfte eher unauffällig inszeniert ist, gewinnt deutlich an Brillanz, wenn die Charaktere immer stärker psychologisch ausgeleuchtet und die Bilder expressionistisch werden; und der Bezug zur jüngsten japanischen Vergangenheit klar wird.",4.5,positivo
الاتموسفير الى خلقه الفيلم داه من خلال السينماتوغرافى مبهر لاقصى حد حقيقى واحد من اجمل الى شفتها والقصه لا تقل جمالا عن الجانب البصرى حيث انها قصه شعبيه فى اليابان والى بتجسد الطمع والحب والطموح ورعب ومأساه الحرب . كنجي ميزوغوشي بجد واحد من اعظم مخرجى السينما واليابان,5.0,positivo
"Il folklore giapponese qui prende vita e si trasforma in una fiaba nera che si base principalmente ""sull'ideale dell'ostrica"", tanto caro a Giovanni Verga. Il debole è destinato a rimanere relegato alla sua misera condizione di vita e non gli è concessa nessuna via di fuga. Un prigioniero che, nonostante tutti i suoi sforzi per evadere da quella realtà, rimane attaccato allo scoglio sui è nato, obbligato a vivere secondo i valori della famiglia, del lavoro e delle tradizioni ataviche. ""Ugetsu"" porta in scena quindi un racconto drammatico, a tratti gotico, che attraverso le molte figure legate alla tradizione giapponese, porta un insegnamento tanto struggente, quanto soffocante. Un capolavoro visivo e narrativo unico, con una delle migliori fotografie dell'epoca e delle ambientazioni in grado di raccontare storie ed emozioni, al posto dei personaggi. Kenji Mizoguchi realizza quindi una pellicola aggraziata e raffinata, che mostra la sua crudeltà nei messaggi in modo velato e senza mai rimarcare in modo netto quello che dice. Un'opera poetica ed intesa che stupisce ed incanta, sia per quel che mostra e sia per quel che vuol trasmettere.
- Roveda -",0.0,
"On dirait qu'Ugetsu est un genre de greatest hits filmique japonais, de l'histoire d'un fantôme moralisateur jusqu'à la manie des réalisateurs de prioriser les mouvements des acteurs aux mouvements de caméra pour raconter l'histoire, projeté dans un contexte de guerre dans un Japon féodal. La classe, quoi.",0.0,
Issa ghos,5.0,positivo
"Mizoguchi é sensacional, puta merda.",5.0,positivo
amei a sobrancelha do fantasma,4.0,positivo
"Contos da Lua Vaga Depois da Chuva é um dos títulos mais hard da história pqp.
Filme brutal, homem é um bicho do cão mesmo hein não importa a época.",4.5,positivo
me quiero agarrar a vergazos a un samurai,0.0,
"esq em pots posar una trama super mid ital i personatges odiosos q si tinc aquests giritos cauré als vostres peus.
i es heavy com el meu tda m’ajuda a q em segueixin sorprenent o a no fixar-me en certes coses i q em sorprengui encara mes. (la vaig veure fa res).",4.5,positivo
Se quer ficar rico não case,2.5,negativo
hayao miyazaki: men are trash 🤝 kenji mizoguchi: men are dumbasses,5.0,positivo
"Em um mundo de representação, o que se propõe entre a realidade da ficção e a ficção da ficção pode ser francamente anunciado, explicado, como em filmes do Nolan, em que as dúvidas são postas de formas fracas e e visivelmente sintéticas(escolha de não mostrar o fim de um plano, como em a Origem), ou podem ser enunciado de forma sutil e orgânica, como feito por Lynch em Mullholand ou nesse filme de Mizoguchi, em que tudo a construção é realizada paulatinamente. Em que tanto na visualização direta como em uma visualização hermenêutica, possibilitando a compreensão expandida de elementos só após a sucessão de uma série de outros anteriores. A construção se completa e se aditiva na dualidade dessa dupla existência entre o real e o onírico, no caso de Lynch, e o real e a fantasia, no caso de Mizoguchi.
Nesse caso, é ainda mais afortunado, porque o que quer mostrar é mais do que apenas uma lenda. É a fratura de valores da sociedade somado ao desalento de um pós guerra que quer ser mostrado, a existência uma ordem ""moral"" exterior, organizadora, e capaz de ""estabelecer a ordem"", não sem antes punir e ter algo em troca, fugindo do aspecto um psicologismo individual(como usado no caso de Lynch) para reforçar o caráter social. Mas sem um aspecto religioso de destino, e de falta de vontade do homem, muito pelo contrário, são postas exatamente questões vinculados a sentimentos e desejos, ""tentações"", extremamente humanas, e como a vontade humana é possível de agir em função do próprio destino.",5.0,positivo
"Due storie che provengono dalla tradizione giapponese. Storia di due coppie durante una guerra civile cinquecentesca. Dramma elegante, cotenuto da una maestria registica d'altri tempi. Ho apprezzato di gran lunga la storia legata al ""fantastico"", le peripezie di un artigiano esperto di vasellame in lotta contro la sua stessa avidità. Ultimi venti minuti magnifici che ripagano a pieno lo sforzo di uno spettatore moderno che si approcci per la prima volta a Mizoguchi come me.",4.5,positivo
Русское название как будто мой одноклассник придумал.,4.5,positivo
Toccava farlo vedere in accademia,5.0,positivo
ESSE FILME MOSTRA QUE O DINHEIRO MOVE O MUNDO É POR ISSO QUE O MUNDO TÁ PERDIDO. OUTRA FITA ESSA MINA AI COM A SOBRANCELHA PUTA Q PARIU Q DEMONHA SAI PRA LA CAPETA,4.0,positivo
